Sku;Discount;Kezdet
2058536211;0.9;2016-01-07
2058526957;0.9;2016-01-07
2058546272;0.9;2016-01-07
2058541953;0.9;2016-01-07
2058544383;0.9;2016-01-07
2058543967;0.9;2016-01-07
2058536844;0.9;2016-01-07
2058541249;0.9;2016-01-07
2058536544;0.9;2016-01-07
2058526396;0.9;2016-01-07
