sku;voltage;20hr;length_mm;length_in;width_mm;width_in;height_mm;height_in;theight_mm;theight_in;Terminal;weight_kg;weight_pund;pdf
CTA12-50X;12;50;279;10.98;105;4.13;280;11.02;280;11.02;F15;20.0;44.09;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CTA12-50X.pdf
CTA12-75X;12;75;563;22.17;115;4.53;188;7.40;188;7.40;F15;28.5;62.83;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CTA12-75X.pdf
CTA12-85X;12;85;393;15.47;125;4.92;256;10.08;256;10.08;F15;32.0;70.55;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CTA12-85X.pdf
CTA12-100X;12;100;558;21.97;125;4.92;228;8.98;228;8.98;F15;42.0;92.59;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CTA12-100X.pdf
CTA12-125X;12;125;548;21.57;105;4.13;316;12.44;316;12.44;F15;49.5;109.13;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CTA12-125X.pdf
CTA12-155X;12;155;546;21.50;125;4.92;315;12.40;315;12.40;F15;61.6;135.80;http://www.vision-batt.eu/sites/default/files/public/docs/products/manuals/CTA12-155X.pdf
